id	sent1	sent2	label
326	يضع المسامير على شطيرة	يضع لحم الخنزير على شطيرة.	0
327	شيء تجده في غرفة المعيشة هو كرسي	شيء تجده في غرفة المعيشة هو الفهد	1
328	الثعلب طائر	الثعلب حيوان	0
329	يضع المستحضر في السلة	يفرك المستحضر على السلة	1
330	من المحتمل أن تواجه حادث سيارة على الطريق	من المحتمل أن تواجه حادث سيارة داخل المنزل	1
331	لا أحد يريد العيش مع قطة	لا أحد يريد العيش مع الفئران	0
332	قرأ خزانة في الجدول	قرأ كتابا في الجدول	0
333	يطارد الفأر الصغير قطة رمادية	القط الرمادي يطارد فأر صغير بعيدًا	0
334	ذهبت إلى المستشفى لإجراء عملية جراحية.	ذهبت إلى متجر الملابس لإجراء عملية جراحية.	1
335	تصدر لوحة المفاتيح صوت نقر عند كتابتها.	تصدر لوحة المفاتيح صوتًا رشيقًا عند كتابتها.	1
336	الطباشير عنصر غذائي شائع في حفلات أعياد الميلاد.	الكيك هو عنصر غذائي شائع في حفلات أعياد الميلاد.	0
337	المروحة هي كنغر صغير	جوي هو الكنغر الصغير	0
338	قاد سيارته أسفل النهر.	قاد سيارته في الشارع.	0
339	السيارات لديها عشر عجلات	السيارات لديها أربع عجلات	0
340	نقر على شاشة الكمبيوتر بالماوس	نقر على شاشة الكمبيوتر مع الكلب	1
341	سوف تلد بعد شهرين من الحمل	سوف تلد بعد 9 شهور من الحمل	0
342	جواز السفر ضروري للسفر من دولة إلى أخرى.	جواز السفر ضروري للسفر من مطعم إلى آخر.	1
343	رائحة جوناثان سيئة عندما تكون القمامة العضوية قريبة	إن رائحة جوناثان جيدة عندما تكون القمامة العضوية قريبة	1
344	سفينة الفضاء هي وسيلة للانتقال من جانب واحد إلى طريق الماء إلى جانب آخر.	النفق هو وسيلة للانتقال من جانب إلى جانب فوق الماء.	0
345	اشترى هدية لجنازة صديقه	اشترى هدية لحفل زفاف صديقه	0
346	قامت بوضع معجون الأسنان على وجهها في الصيف	قامت بوضع واقي الشمس على وجهها في الصيف	0
347	سبعة أرباع تساوي واحدة كاملة.	أربعة أرباع تساوي واحدة كاملة.	0
348	تنمو الهواتف على الأشجار	التفاح ينمو على الأشجار	0
349	يمكن محو العلامة الدائمة بسهولة أكبر من التلوين	يمكن مسح قلم الرصاص بسهولة أكثر من قلم التلوين	0
350	من المحتمل أن تدخل الجامعة مع فشلها في الامتحان التأهيلي	من المحتمل أن تدخل الجامعة مع اجتيازها في الامتحان التأهيلي	0
351	اتصل بزوجته على قلمها	اتصل بزوجته على هاتفها النقال	0
352	وضعت القطار في السيارة.	وضعت كلبا في السيارة.	0
353	كان لوح الصلب يطفو على البحيرة	لوح الخشب عائم على البحيرة	0
354	قام بتخزين الأرز في محرك القلم	قام بتخزين ملفات الموسيقى في محرك القلم	0
355	يحتاج نبات الريحان إلى الشمس والماء والتربة لكي يزدهر.	يحتاج الرضيع إلى الشمس والماء والتربة لكي يزدهر.	1
356	أركب النمر للعمل كل يوم	أنا أقود سيارة للعمل كل يوم	0
357	يمكنك استخدام حمام السباحة	يمكنك استخدام بركة لوضع الفيل	1
358	قاد الشاحنة من قارة إلى قارة.	قادت الشاحنة على الطريق السريع.	0
359	مشيت على الأرض	انا مَشيتُ على الماءِ	1
360	هناك أربعة جبال حول الطاولة	هناك أربعة مقاعد حول الطاولة	0
361	ركبت النملة الدراجة.	ركبت الفتاة الدراجة.	0
362	نظر إلى ساعته.	فحص الوقت على حذائه	1
363	حكم على المجرم بسنتين في المكتبة.	حكم على المجرم بالسجن لمدة عامين.	0
364	كان يسبح في حمام سباحة	كان يسبح في أرض	1
365	لدى بيل صديقين في بلجيكا	يمتلك بيل جزيرتين في بلجيكا	1
366	ذهب وحيد القرن أسفل الحفرة.	ذهب الأرنب أسفل الحفرة.	0
367	يأكل كلبي الخشب على العشاء.	يأكل كلبي الدجاج على العشاء.	0
368	تناول الكثير من الرمل يمكن أن يسبب السمنة	تناول الكثير من الأطعمة السكرية يمكن أن يسبب السمنة	0
369	ولوح بيديه على دراجته	ولوح بيده على أصدقائه	0
370	أوقف جون سيارته في الحمام	أوقف جون سيارته في المرآب	0
371	كان يأكل كتابًا	كان يقرأ كتابًا	0
372	يجب على الشخص أن يأكل المزيد من اللحم ليعيش حياة أطول	يجب على الشخص ممارسة المزيد من الرياضة  لأجل حياة أطول	0
373	كان يحب الطعام الذي قدمه الكلب	كان يحب الطعام الذي يقدمه الشيف	0
374	دخل حوض الاستحمام للنوم.	دخل السرير للنوم.	0
375	يجب طهي حساء اللحم البقري عند 3250 درجة لمدة 36 ساعة	يجب طهي لحم البقر عند 325 درجة لمدة 3 ساعات	0
376	تأكل الكثير من الطعام.	الطعام يأكلها كثيرا.	1
377	يمكنك العثور على نوافذ على مبنى	ستجد دائمًا نوافذ على مبنى	1
378	من المستحسن وضع الأطفال في السجن في سن السادسة	من المستحسن وضع الأطفال في المدرسة في سن السادسة	0
379	العمل سيجني المال.	الذهاب للعمل هو لكسب المال.	0
380	يستخدم الطالب عصا لإجراء الاختبار	يستخدم الطالب قلم رصاص لإجراء الاختبار	0
381	المحفظة هي طريقة عصرية لحمل الشفرات الدوارة.	المحفظة هي طريقة عصرية لحمل العناصر الأساسية.	0
382	طائرة ورقية تطير في الهواء.	طائرة ورقية تبكي في الهواء.	1
383	ذهب إلى الصالون لعمل قص شعر	ذهب إلى المسرح للقيام بقص الشعر	1
384	عند القيادة ، من المهم إبقاء كلتا يديك على عجلة القيادة.	عند القيادة ، من المهم إبقاء كلا القدمين على عجلة القيادة.	1
385	أخذ حيوانه إلى رسام للعلاج	أخذ حيوانه إلى طبيب بيطري للعلاج	0
386	بعض الكلاب تعض الرجال	كل الرجال يعضون الكلاب	1
387	اعتقل رجال الشرطة اللص	القبض على اللص رجال الشرطة	1
388	وضعت أمي الطفل في عربة المشي على الحديقة	وضعت أمي الطفل في زحليقة الماء لتذهب إلى الحديقة	1
389	ذهبت إليها المدرسة	كانت في نفس مدرستي	0
390	يقود باخرة في وظيفته في الملعب.	يقود الباخرة في وظيفته.	0
391	كان يأكل الكعكة	كان يأكل العشب	1
392	ستأكل الحصان لأنك جائع	ستأكل الغداء لأنك جائع	0
393	سافر إلى أوروبا بالطائرة.	سافر إلى أوروبا عن طريق الطيور.	1
394	قام الرجل بإلقاء القمامة في سلة المهملات	قام الرجل بإلقاء القمامة في فمه	1
395	بعد رمي الكرة لأعلى ، ستستمر في الصعود	بعد رمي الكرة لأعلى ، ستنزل مرة أخرى	0
396	تقفز بعض الكلاب من فرع إلى آخر على شجرة	تقفز بعض القرود من فرع إلى آخر على شجرة	0
397	الأطفال لديهم وظائف.	الكبار لديهم وظائف.	0
398	عادة ما يأكل الناس الحساء مع الملاعق	عادة ما يأكل الناس الحساء بالسكاكين	1
399	فتح الجدار	فتح الباب	0
400	قامت بطهي الأرز في حوض الاستحمام.	طهي الأرز في المقلاة.	0
401	أعطاها قلادة لعيد ميلادها.	أعطاها صخرة في عيد ميلادها.	1
402	استبدل المصباح في المصباح بسمك السلمون	استبدل المصباح في المصباح بمصباح LED جديد	0
403	قام إدوارد بتركيب الألواح الشمسية على السطح	وضع محطة نووية على السطح	1
404	أربعة زائد ستة يساوي عشرة	عشرة زائد ستة تساوي عشرة	1
405	أكلت عجلة دراجة	أكلت بسكويت	0
406	ينظف المنزل السيارات نفسه.	تنظف المنزل كل يوم.	0
407	طار المراكب الشراعية عالياً في السماء.	حلقت الطائرة عاليا في السماء.	0
